brand, product_name, shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,$4.99 Shipping
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 6GT OCV1 Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 580 DirectX 12 RX580 8G OC Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 Ti DirectX 12 GV-N108TGAMING OC-11GD Video Card,Free Shipping
ASUS,ASUS Radeon RX 580 DirectX 12 DUAL-RX580-O8G Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 Ti FTW3 GAMING| 11G-P4-6696-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING Video Card,$4.99 Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 570 DirectX 12 RX570 8G OC Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX Vega 56 DirectX 12 100420PSR Video Card,$4.99 Shipping
